 numero_reimpresiones, puntos_vta1anio_total, materia3, tirada, ejemplares_distribuidos_en_novedad, obsequios, pvp, reimpresiones, editorial, materia2, encuadernacion, venta_total, semanas_venta, coleccion, puntos_vta_total, materia1
0,80,,1895,663,6,   14.42,0,UDLW14,,3,83,122,UDLW14002,85,112
0,78,,1356,366,6,   15.38,0,UDLW14,,3,79,89,UDLW14002,79,112
0,130,,500,434,8,   15.38,0,UDLW14,,3,198,57,UDLW14003,130,131
0,150,,800,658,6,   17.31,0,UDLW15,,3,86,134,UDLW15001,152,111
0,76,,1302,570,6,   13.46,0,UDLW15,118,3,123,120,UDLW15002,85,111
0,87,,875,462,7,   17.31,0,UDLW15,,3,309,85,UDLW15002,106,118
0,104,,850,438,6,   14.42,0,UDLW15,,2,260,127,UDLW15003,113,131
0,113,,400,262,7,   14.42,0,UDLW15,95,2,122,76,UDLW15003,115,131
0,102,,836,443,6,   19.13,0,UDLW15,,3,134,113,UDLW15004,107,111
0,134,,875,618,6,   15.38,0,UDLW15,,3,198,109,UDLW15004,142,111
0,128,,875,550,7,   17.31,0,UDLW15,,2,227,95,UDLW15004,142,93
0,166,,880,631,7,   17.31,0,UDLW15,,3,184,59,UDLW15004,166,115
0,191,,882,664,8,   17.31,0,UDLW15,,3,368,58,UDLW15004,193,116
0,48,,850,325,6,   13.46,0,UDLW15,,3,25,111,UDLW15005,52,371
0,95,,1000,448,6,   16.35,0,UDLW15,,3,328,104,UDLW15006,99,95
30,77,,880,419,6,   11.54,1,UDLW15,,2,65,107,UDLW15007,86,15
875,218,,1745,823,7,   13.46,1,UDLW15,15,2,661,94,UDLW15007,244,
0,235,,875,682,8,   13.46,0,UDLW15,,2,283,92,UDLW15007,249,153
1959,113,,3908,729,6,   12.02,4,UDLW16,,2,146,130,UDLW16001,123,15
1945,114,,3850,743,6,   12.02,5,UDLW16,,2,162,134,UDLW16001,121,15
1991,127,,3937,767,6,   12.02,5,UDLW16,,2,203,133,UDLW16001,135,15
2005,126,,3963,755,6,   12.02,5,UDLW16,,2,171,133,UDLW16001,135,15
1008,84,,1998,269,4,   12.02,3,UDLW16,2334,2,117,130,UDLW16002,86,15
1001,15,,1967,88,4,   12.02,2,UDLW16,2334,2,10,90,UDLW16002,16,15
978,68,,1942,190,4,   12.02,3,UDLW16,2334,2,69,126,UDLW16002,70,15
24,70,,1003,192,4,   12.02,3,UDLW16,2334,2,58,126,UDLW16002,72,15
977,54,,1946,106,3,   12.02,3,UDLW16,183,2,119,133,UDLW16003,56,15
986,53,,1972,107,3,   12.02,3,UDLW16,183,3,109,131,UDLW16003,56,15
971,39,,1927,85,3,   12.02,3,UDLW16,183,2,82,130,UDLW16003,42,15
18,42,,965,86,3,   12.02,2,UDLW16,183,2,72,130,UDLW16003,44,15
3,6,,971,974,0,   12.02,2,UDLW16,123,2,41,128,UDLW16004,7,15
12,4,,904,896,0,   12.02,2,UDLW16,123,2,38,123,UDLW16004,5,15
16,3,,976,963,0,   12.02,2,UDLW16,123,2,40,123,UDLW16004,4,15
983,2,,1956,869,0,   12.02,3,UDLW16,123,2,37,123,UDLW16004,3,15
75,100,,545,372,6,   15.38,4,UDLW17,,3,234,131,UDLW17001,109,971
0,124,,800,574,266,   17.31,0,UDLW17,,3,359,79,UDLW17001,130,111
